,Friction Factor,Sliding Speed
144,0.7433333333333333,6.623333333333334e-05
145,0.739,6.74e-05
146,0.73,6.866666666666668e-05
147,0.7236666666666666,6.996666666666666e-05
148,0.7186666666666667,7.13e-05
149,0.7166666666666667,7.263333333333334e-05
150,0.6973333333333334,7.393333333333332e-05
151,0.6976666666666667,7.53e-05
152,0.7086666666666667,7.67e-05
153,0.7256666666666666,7.813333333333334e-05
154,0.7333333333333334,7.953333333333333e-05
155,0.7333333333333334,8.106666666666667e-05
156,0.7423333333333334,8.26e-05
157,0.7573333333333333,8.413333333333334e-05
158,0.7600000000000001,8.563333333333333e-05
159,0.7626666666666667,8.73e-05
160,0.7346666666666666,8.883333333333334e-05
161,0.726,9.050000000000002e-05
162,0.7146666666666667,9.216666666666667e-05
163,0.7163333333333334,9.386666666666667e-05
164,0.699,9.566666666666666e-05
