,Sliding Speed,Friction Factor
349,0.00286,0.345
350,0.00291,0.329
351,0.00297,0.3375
352,0.00302,0.331
353,0.00308,0.3395
354,0.00313,0.333
355,0.00319,0.34199999999999997
356,0.00325,0.34299999999999997
357,0.00331,0.346
358,0.00337,0.345
359,0.00344,0.365
360,0.0035,0.35950000000000004
361,0.00356,0.33199999999999996
362,0.00363,0.3295
363,0.0037,0.334
364,0.00377,0.3125
365,0.00384,0.3385
366,0.00391,0.33699999999999997
367,0.00398,0.326
368,0.00405,0.3285
369,0.00413,0.3305
370,0.004205,0.347
371,0.00428,0.33999999999999997
372,0.00436,0.3525
373,0.00444,0.354
374,0.00453,0.35750000000000004
375,0.00461,0.33099999999999996
376,0.00469,0.3325
377,0.00478,0.31
378,0.00487,0.3285
379,0.00496,0.319
380,0.00505,0.327
381,0.00515,0.323
382,0.00524,0.3355
383,0.00534,0.3265
384,0.00544,0.3385
385,0.00554,0.34299999999999997
386,0.00564,0.32499999999999996
387,0.00575,0.328
388,0.00585,0.30100000000000005
389,0.00596,0.3215
390,0.00607,0.323
391,0.00618,0.3205
392,0.0063,0.3265
393,0.00641,0.3285
394,0.00653,0.33699999999999997
395,0.0066549999999999995,0.3215
396,0.00678,0.3185
397,0.0069,0.306
398,0.00703,0.3005
399,0.00716,0.309
400,0.007294999999999999,0.321
401,0.00743,0.317
402,0.00757,0.3275
403,0.00771,0.31
404,0.00785,0.293
405,0.008,0.309
406,0.00815,0.3085
407,0.0083,0.3135
408,0.00845,0.3055
409,0.00861,0.3195
410,0.00877,0.3025
411,0.00893,0.279
412,0.00909,0.288
413,0.00926,0.2955
414,0.00943,0.3025
415,0.00961,0.3135
416,0.00979,0.29700000000000004
417,0.00997,0.275
418,0.0102,0.2845
419,0.0103,0.296
420,0.0105,0.3015
421,0.0107,0.3025
422,0.0109,0.279
423,0.0111,0.278
424,0.0113,0.287
425,0.0115,0.2895
426,0.0118,0.2945
427,0.012,0.266
428,0.0122,0.272
429,0.0124,0.2885
430,0.0127,0.3
431,0.0129,0.28200000000000003
432,0.0131,0.27449999999999997
433,0.0134,0.2735
434,0.0136,0.28300000000000003
435,0.0139,0.28300000000000003
436,0.0141,0.2615
437,0.0144,0.2695
438,0.0147,0.279
439,0.0149,0.27349999999999997
440,0.0152,0.2625
441,0.0155,0.2715
442,0.0158,0.2815
443,0.0161,0.2535
444,0.0164,0.257
445,0.0167,0.26649999999999996
446,0.017,0.269
447,0.0173,0.2505
448,0.0176,0.2665
449,0.0179,0.268
450,0.0183,0.2445
451,0.0186,0.2615
452,0.019,0.2645
453,0.0193,0.24
454,0.0197,0.258
455,0.02,0.2595
456,0.0204,0.239
457,0.0208,0.2525
458,0.0212,0.2445
459,0.0216,0.2405
460,0.022,0.254
461,0.0224,0.2275
462,0.0228,0.2475
463,0.0232,0.245
464,0.0236,0.23349999999999999
465,0.0241,0.25
466,0.0245,0.2235
467,0.025,0.244
468,0.0254,0.2205
469,0.0259,0.2405
470,0.0264,0.22
471,0.0269,0.2375
472,0.0274,0.2245
473,0.0279,0.23349999999999999
474,0.0284,0.2225
475,0.0289,0.23099999999999998
476,0.0295,0.212
477,0.03,0.22699999999999998
478,0.0306,0.20850000000000002
479,0.0311,0.22899999999999998
480,0.0317,0.2005
481,0.0323,0.22449999999999998
482,0.0329,0.2105
483,0.0335,0.2125
484,0.0341,0.2185
485,0.0348,0.195
486,0.0354,0.2175
487,0.0361,0.2095
488,0.0367,0.1985
489,0.0374,0.21450000000000002
490,0.0381,0.20500000000000002
491,0.0388,0.1945
492,0.0395,0.21100000000000002
493,0.0403,0.20750000000000002
494,0.041,0.1915
495,0.0418,0.197
496,0.0425,0.20750000000000002
497,0.0433,0.1975
498,0.0441,0.183
499,0.045,0.188
500,0.0458,0.2
501,0.0466,0.1985
502,0.0475,0.1935
503,0.0484,0.186
504,0.0493,0.1755
505,0.0502,0.173
506,0.0511,0.1775
507,0.0521,0.181
508,0.053,0.183
509,0.054,0.1855
510,0.055,0.1845
511,0.056,0.184
512,0.0571,0.1825
513,0.0581,0.1815
514,0.0592,0.1765
515,0.0603,0.17149999999999999
516,0.0614,0.16899999999999998
517,0.0626,0.16399999999999998
518,0.0637,0.16349999999999998
519,0.0649,0.16449999999999998
520,0.0661,0.17099999999999999
521,0.0673,0.17149999999999999
522,0.0686,0.16249999999999998
523,0.0699,0.157
524,0.0711,0.15999999999999998
525,0.0725,0.16599999999999998
526,0.0738,0.15450000000000003
527,0.0752,0.153
528,0.0766,0.16249999999999998
529,0.078,0.14950000000000002
530,0.0794,0.1555
531,0.0809,0.1525
532,0.0824,0.14650000000000002
533,0.0839,0.14950000000000002
534,0.0855,0.14400000000000002
535,0.0871,0.14650000000000002
536,0.0887,0.14350000000000002
537,0.0903,0.14
538,0.092,0.14400000000000002
539,0.0937,0.1385
540,0.0955,0.1375
541,0.0972,0.1395
542,0.099,0.136
543,0.101,0.135
544,0.103,0.134
545,0.105,0.1335
546,0.107,0.1335
547,0.109,0.132
548,0.111,0.1305
549,0.113,0.1285
550,0.115,0.127
551,0.117,0.127
552,0.119,0.1225
553,0.121,0.123
554,0.123,0.1235
555,0.126,0.122
556,0.128,0.1205
557,0.13,0.1215
558,0.133,0.1225
559,0.135,0.11850000000000001
560,0.138,0.1215
561,0.14,0.1185
562,0.143,0.12
563,0.146,0.118
564,0.148,0.119
565,0.151,0.11699999999999999
566,0.154,0.1155
567,0.157,0.116
568,0.16,0.1145
569,0.163,0.11445
570,0.166,0.1128
571,0.169,0.113
572,0.172,0.1135
573,0.175,0.11105000000000001
574,0.178,0.11030000000000001
575,0.182,0.10825
576,0.185,0.10905000000000001
577,0.188,0.11019999999999999
578,0.192,0.10915
579,0.195,0.1095
580,0.199,0.10755
581,0.203,0.1075
582,0.206,0.10835
583,0.21,0.11149999999999999
584,0.214,0.11
585,0.218,0.10869999999999999
586,0.222,0.10850000000000001
587,0.226,0.1063
588,0.2305,0.1053
589,0.235,0.10264999999999999
590,0.239,0.10175000000000001
591,0.244,0.0968
592,0.248,0.09775
593,0.253,0.0984
594,0.257,0.09615
595,0.262,0.0959
596,0.267,0.0935
597,0.272,0.09309999999999999
598,0.277,0.0916
599,0.282,0.092
