"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"297","0.00108","0.522","0.773","1.05"
"298","0.0011","0.494","0.707","1.01"
"299","0.00112","0.469","0.666","1"
"300","0.00114","0.523","0.693","0.938"
"301","0.00116","0.488","0.649","0.94"
"302","0.00118","0.55","0.748","0.961"
"303","0.00121","0.545","0.731","0.949"
"304","0.00123","0.569","0.762","0.948"
"305","0.00125","0.559","0.75","0.948"
"306","0.00127","0.536","0.745","0.982"
"307","0.0013","0.513","0.745","1.03"
"308","0.00132","0.51","0.757","1.05"
"309","0.00135","0.538","0.804","1.06"
"310","0.00137","0.505","0.766","1.07"
"311","0.0014","0.534","0.819","1.08"
"312","0.00142","0.474","0.71","1.06"
"313","0.00145","0.553","0.787","1.01"
"314","0.00148","0.46","0.626","0.961"
"315","0.0015","0.504","0.66","0.927"
"316","0.00153","0.503","0.672","0.944"
"317","0.00156","0.414","0.555","0.948"
"318","0.00159","0.421","0.559","0.939"
"319","0.00162","0.464","0.654","0.997"
"320","0.00165","0.495","0.736","1.05"
"321","0.00168","0.481","0.738","1.08"
"322","0.00171","0.48","0.749","1.1"
"323","0.00174","0.495","0.774","1.11"
"324","0.00177","0.487","0.711","1.03"
"325","0.00181","0.409","0.591","1.02"
"326","0.00184","0.436","0.623","1.01"
"327","0.00187","0.455","0.626","0.972"
"328","0.00191","0.403","0.553","0.969"
"329","0.00194","0.41","0.539","0.931"
"330","0.00198","0.384","0.564","1.04"
"331","0.00202","0.403","0.619","1.09"
"332","0.00205","0.438","0.631","1.02"
"333","0.00209","0.46","0.658","1.01"
"334","0.00213","0.423","0.608","1.01"
"335","0.00217","0.45","0.602","0.947"
"336","0.00221","0.477","0.608","0.901"
"337","0.00225","0.459","0.592","0.913"
"338","0.00229","0.439","0.588","0.948"
"339","0.00234","0.462","0.652","0.998"
"340","0.00238","0.476","0.695","1.03"
"341","0.00242","0.437","0.691","1.12"
"342","0.00247","0.428","0.651","1.08"
"343","0.00251","0.403","0.564","0.989"
"344","0.00256","0.431","0.571","0.937"
"345","0.00261","0.332","0.434","0.924"
"346","0.00266","0.419","0.573","0.967"
"347","0.00271","0.415","0.613","1.04"
"348","0.00276","0.376","0.588","1.1"
"349","0.00281","0.416","0.621","1.06"
"350","0.00286","0.33","0.477","1.02"
"351","0.00291","0.37","0.537","1.03"
"352","0.00297","0.377","0.504","0.945"
"353","0.00302","0.326","0.481","1.04"
"354","0.00308","0.351","0.528","1.06"
"355","0.00313","0.408","0.582","1.01"
"356","0.00319","0.345","0.477","0.978"
"357","0.00325","0.391","0.489","0.884"
"358","0.00331","0.353","0.473","0.948"
"359","0.00337","0.388","0.521","0.95"
"360","0.00344","0.371","0.55","1.05"
"361","0.0035","0.369","0.56","1.07"
"362","0.00356","0.37","0.502","0.958"
"363","0.00363","0.302","0.395","0.925"
"364","0.0037","0.384","0.516","0.95"
"365","0.00377","0.37","0.556","1.06"
"366","0.00384","0.334","0.522","1.1"
"367","0.00391","0.322","0.479","1.05"
"368","0.00398","0.319","0.443","0.982"
"369","0.00405","0.298","0.438","1.04"
"370","0.00413","0.351","0.521","1.05"
"371","0.0042","0.297","0.425","1.01"
"372","0.00428","0.354","0.447","0.892"
"373","0.00436","0.325","0.445","0.969"
"374","0.00444","0.345","0.51","1.05"
"375","0.00453","0.323","0.474","1.04"
"376","0.00461","0.319","0.419","0.929"
"377","0.00469","0.281","0.359","0.904"
"378","0.00478","0.333","0.473","1"
"379","0.00487","0.303","0.476","1.11"
"380","0.00496","0.311","0.469","1.07"
"381","0.00505","0.302","0.419","0.982"
"382","0.00514","0.295","0.448","1.08"
"383","0.00524","0.27","0.387","1.01"
"384","0.00534","0.315","0.4","0.9"
"385","0.00544","0.318","0.432","0.96"
"386","0.00554","0.283","0.425","1.06"
"387","0.00564","0.285","0.372","0.921"
"388","0.00575","0.277","0.364","0.93"
"389","0.00585","0.289","0.444","1.09"
"390","0.00596","0.241","0.377","1.1"
"391","0.00607","0.276","0.384","0.984"
"392","0.00618","0.283","0.424","1.06"
"393","0.0063","0.249","0.334","0.947"
"394","0.00641","0.281","0.378","0.951"
"395","0.00654","0.27","0.416","1.09"
"396","0.00666","0.254","0.328","0.912"
"397","0.00678","0.256","0.333","0.92"
"398","0.0069","0.253","0.388","1.08"
"399","0.00703","0.255","0.384","1.06"
"400","0.00716","0.235","0.361","1.09"
"401","0.0073","0.252","0.36","1.01"
"402","0.00743","0.269","0.351","0.921"
"403","0.00757","0.25","0.381","1.08"
"404","0.00771","0.242","0.311","0.91"
"405","0.00785","0.257","0.343","0.944"
"406","0.008","0.212","0.326","1.09"
"407","0.00814","0.237","0.334","0.995"
"408","0.0083","0.26","0.384","1.04"
"409","0.00845","0.247","0.314","0.898"
"410","0.00861","0.231","0.35","1.07"
"411","0.00877","0.219","0.278","0.901"
"412","0.00893","0.237","0.34","1.01"
"413","0.00909","0.227","0.345","1.07"
"414","0.00926","0.229","0.355","1.1"
"415","0.00943","0.226","0.287","0.897"
"416","0.00961","0.232","0.341","1.04"
"417","0.00979","0.205","0.264","0.91"
"418","0.00997","0.224","0.318","1"
"419","0.0102","0.217","0.311","1.01"
"420","0.0103","0.238","0.354","1.05"
"421","0.0105","0.232","0.296","0.905"
"422","0.0107","0.196","0.274","0.991"
"423","0.0109","0.204","0.27","0.936"
"424","0.0111","0.188","0.285","1.07"
"425","0.0113","0.209","0.319","1.08"
"426","0.0115","0.209","0.266","0.902"
"427","0.0118","0.185","0.262","0.999"
"428","0.012","0.196","0.264","0.952"
"429","0.0122","0.195","0.286","1.04"
"430","0.0124","0.2","0.292","1.03"
"431","0.0127","0.212","0.288","0.962"
"432","0.0129","0.169","0.218","0.912"
"433","0.0131","0.162","0.248","1.08"
"434","0.0134","0.182","0.274","1.06"
"435","0.0136","0.194","0.249","0.909"
"436","0.0139","0.173","0.232","0.949"
"437","0.0141","0.169","0.253","1.06"
"438","0.0144","0.17","0.255","1.06"
"439","0.0147","0.183","0.237","0.915"
"440","0.0149","0.158","0.207","0.93"
"441","0.0152","0.154","0.238","1.09"
"442","0.0155","0.172","0.261","1.08"
"443","0.0158","0.182","0.256","0.999"
"444","0.0161","0.151","0.199","0.935"
"445","0.0164","0.152","0.222","1.03"
"446","0.0167","0.153","0.199","0.919"
"447","0.017","0.149","0.201","0.954"
"448","0.0173","0.144","0.221","1.09"
"449","0.0176","0.15","0.214","1.01"
"450","0.0179","0.148","0.212","1.01"
"451","0.0183","0.136","0.205","1.06"
"452","0.0186","0.144","0.211","1.04"
"453","0.019","0.142","0.204","1.02"
"454","0.0193","0.131","0.198","1.07"
"455","0.0197","0.139","0.199","1.02"
"456","0.02","0.134","0.189","0.996"
"457","0.0204","0.126","0.194","1.09"
"458","0.0208","0.132","0.177","0.946"
"459","0.0212","0.125","0.166","0.942"
"460","0.0216","0.123","0.183","1.05"
"461","0.022","0.136","0.188","0.982"
"462","0.0224","0.119","0.176","1.04"
"463","0.0228","0.124","0.175","0.998"
"464","0.0232","0.118","0.158","0.951"
"465","0.0236","0.114","0.169","1.05"
"466","0.0241","0.126","0.178","0.994"
"467","0.0245","0.109","0.166","1.07"
"468","0.025","0.123","0.162","0.929"
"469","0.0254","0.113","0.164","1.03"
"470","0.0259","0.115","0.159","0.983"
"471","0.0264","0.109","0.15","0.973"
"472","0.0269","0.109","0.159","1.03"
"473","0.0274","0.107","0.145","0.959"
"474","0.0279","0.107","0.157","1.04"
"475","0.0284","0.105","0.143","0.963"
"476","0.0289","0.102","0.149","1.03"
"477","0.0295","0.101","0.138","0.97"
"478","0.03","0.104","0.148","1"
"479","0.0306","0.0972","0.139","1.01"
"480","0.0311","0.104","0.141","0.957"
"481","0.0317","0.0917","0.137","1.06"
"482","0.0323","0.1","0.138","0.975"
"483","0.0329","0.0836","0.125","1.06"
"484","0.0335","0.0918","0.128","0.985"
"485","0.0341","0.0915","0.129","1"
"486","0.0348","0.0842","0.124","1.04"
"487","0.0354","0.0938","0.129","0.972"
"488","0.0361","0.0831","0.123","1.05"
"489","0.0367","0.0878","0.125","1"
"490","0.0374","0.092","0.126","0.97"
"491","0.0381","0.0749","0.112","1.06"
"492","0.0388","0.0808","0.115","1.01"
"493","0.0395","0.0904","0.124","0.969"
"494","0.0403","0.0772","0.11","1.01"
"495","0.041","0.0739","0.11","1.05"
"496","0.0418","0.08","0.112","0.988"
"497","0.0425","0.0835","0.115","0.977"
"498","0.0433","0.0712","0.103","1.02"
"499","0.0441","0.0707","0.105","1.05"
"500","0.045","0.0772","0.11","1.01"
"501","0.0458","0.0775","0.105","0.961"
"502","0.0466","0.0767","0.107","0.984"
"503","0.0475","0.0704","0.0993","0.998"
"504","0.0484","0.0647","0.0969","1.06"
"505","0.0493","0.0647","0.0948","1.04"
"506","0.0502","0.0656","0.094","1.01"
"507","0.0511","0.0699","0.0997","1.01"
"508","0.0521","0.0695","0.096","0.977"
"509","0.053","0.0691","0.0937","0.958"
"510","0.054","0.0699","0.0939","0.95"
"511","0.055","0.0684","0.0922","0.953"
"512","0.056","0.0683","0.0925","0.958"
"513","0.0571","0.0677","0.0914","0.955"
"514","0.0581","0.0652","0.0879","0.953"
"515","0.0592","0.0655","0.0885","0.955"
"516","0.0603","0.0661","0.091","0.974"
"517","0.0614","0.0609","0.0864","1"
"518","0.0626","0.0568","0.0814","1.01"
"519","0.0637","0.0532","0.0772","1.03"
"520","0.0649","0.0528","0.0768","1.03"
"521","0.0661","0.0545","0.0765","0.993"
"522","0.0673","0.0602","0.0826","0.97"
"523","0.0686","0.0585","0.0813","0.981"
"524","0.0699","0.0507","0.0729","1.02"
"525","0.0711","0.0525","0.0752","1.01"
"526","0.0725","0.0571","0.0785","0.973"
"527","0.0738","0.0552","0.0777","0.996"
"528","0.0752","0.0489","0.07","1.01"
"529","0.0766","0.0542","0.0745","0.972"
"530","0.078","0.0506","0.0716","1"
"531","0.0794","0.0494","0.0701","1"
"532","0.0809","0.0548","0.0753","0.972"
"533","0.0824","0.0483","0.0682","0.998"
"534","0.0839","0.0537","0.0738","0.971"
"535","0.0855","0.0468","0.0659","0.996"
"536","0.0871","0.0522","0.072","0.975"
"537","0.0887","0.0473","0.0666","0.996"
"538","0.0903","0.0485","0.0676","0.985"
"539","0.092","0.0461","0.0639","0.98"
"540","0.0937","0.0454","0.0636","0.991"
"541","0.0955","0.047","0.0652","0.981"
"542","0.0972","0.045","0.0621","0.975"
"543","0.099","0.0452","0.0635","0.994"
"544","0.101","0.043","0.0609","1"
"545","0.103","0.0442","0.0617","0.987"
"546","0.105","0.045","0.0629","0.988"
"547","0.107","0.0451","0.0627","0.983"
"548","0.109","0.0436","0.0608","0.986"
"549","0.111","0.044","0.0613","0.984"
"550","0.113","0.0437","0.0608","0.984"
"551","0.115","0.0438","0.0612","0.986"
"552","0.117","0.0433","0.0605","0.989"
"553","0.119","0.0422","0.059","0.988"
"554","0.121","0.0433","0.0605","0.988"
"555","0.123","0.0425","0.0589","0.98"
"556","0.126","0.0432","0.0602","0.986"
"557","0.128","0.0421","0.0586","0.985"
"558","0.13","0.0412","0.0576","0.987"
"559","0.133","0.0427","0.059","0.977"
"560","0.135","0.0428","0.06","0.99"
"561","0.138","0.0405","0.0565","0.986"
"562","0.14","0.0406","0.0564","0.982"
